sku,item,unit,unit_price_usd
ROM-ICE-24,romaine,cases,18.4
STR-CLAM-12,strawberries,cases,22.1
SPI-BCH-24,spinach,cases,16.5
KAL-BCH-12,kale,cases,14.2
AVO-CS-48,avocado,cases,31.0
TOM-VINE-25,tomatoes,cases,19.8
ICE-HD-24,iceberg,cases,15.1
BLU-FLAT-12,blueberries,cases,28.4
BRO-CRN-20,broccoli,cases,17.6
CAR-BAG-50,carrots,cases,12.0
CEL-BCH-30,celery,cases,13.4
CUC-CTN-24,cucumbers,cases,14.8
PEP-BLST-20,peppers,cases,21.2
ONI-SK-50,onions,cases,11.5
POT-RUS-50,potatoes,cases,10.8
CRN-EAR-48,corn,cases,16.0
LET-BIB-12,lettuce,cases,15.7
CAB-GRN-20,cabbage,cases,12.9
ZUC-CS-20,zucchini,cases,14.1
SQU-YLW-20,squash,cases,13.8
MSH-CTN-10,mushrooms,cases,24.5
ASP-BCH-11,asparagus,cases,29.0
GBN-CTN-20,green beans,cases,18.2
CAU-HD-12,cauliflower,cases,17.0
RAD-BCH-24,radish,cases,11.9
BET-BCH-20,beets,cases,13.2
HRB-MIX-12,herbs,cases,26.0
LMN-CTN-40,lemons,cases,20.4
LIM-CTN-40,limes,cases,19.1
ORG-CTN-40,oranges,cases,18.0
