event_id,po_id,worker_id,time_start,intent,item,quantity,unit,lot_code,supplier,in_reply_to,utterance
EVT-001,PO-4419,W-17,2026-09-12T14:02:11+00:00,receive,romaine,40,cases,R2298,Fresh Farms,,"receiving 40 cases of romaine, lot R2298, from Fresh Farms"
EVT-002,PO-4419,W-17,2026-09-12T14:04:40+00:00,confirm_discrepancy,romaine,40,cases,R2298,Fresh Farms,CLQ-RCV-4419-ROM,"yeah that's right, only 40 on the pallet, not 50"
EVT-S0102,PO-4421,W-18,2026-09-11T18:02:00+00:00,receive,strawberries,20,cases,S4410,Berry Grove Co,,"receiving 20 cases of strawberries, lot S4410, from Berry Grove Co"
EVT-S0103,PO-4420,W-17,2026-09-11T15:30:00+00:00,receive,spinach,30,cases,P1188,GreenLeaf Produce,,"receiving 30 cases of spinach, lot P1188, from GreenLeaf Produce"
EVT-S0104,PO-4418,W-17,2026-09-10T20:10:00+00:00,receive,kale,12,cases,K3302,Fresh Farms,,"receiving 12 cases of kale, lot K3302, from Fresh Farms"
EVT-S0105,PO-4415,W-19,2026-09-10T12:00:00+00:00,receive,avocado,100,cases,A8801,Berry Grove Co,,"receiving 100 cases of avocado, lot A8801, from Berry Grove Co"
EVT-S0106,PO-4412,W-18,2026-09-09T17:42:00+00:00,receive,tomatoes,48,cases,T5510,CoolChain Farms,,"receiving 48 cases of tomatoes, lot T5510, from CoolChain Farms"
EVT-S0107,PO-4410,W-17,2026-09-08T09:40:00+00:00,receive,spinach,18,cases,P1170,GreenLeaf Produce,,"receiving 18 cases of spinach, lot P1170, from GreenLeaf Produce"
EVT-S0108,PO-4408,W-19,2026-09-08T11:15:00+00:00,receive,romaine,50,cases,R2201,Fresh Farms,,"receiving 50 cases of romaine, lot R2201, from Fresh Farms"
EVT-S0109,PO-4402,W-18,2026-09-08T16:05:00+00:00,receive,avocado,40,cases,,Fresh Farms,,"receiving 40 cases of avocado from Fresh Farms, slip has no lot code"
EVT-S0110,PO-4399,W-17,2026-09-05T10:55:00+00:00,receive,mixed greens,20,cases,M7701,CoolChain Farms,,"receiving 20 cases of mixed greens, lot M7701, from CoolChain Farms"
EVT-S0111,PO-4406,W-19,2026-09-12T10:34:00+00:00,receive,blueberries,30,cases,B4406,Valley Mist,,"receiving 30 cases of blueberries, lot B4406, from Valley Mist"
