doc_id,po_id,supplier,sku,item,quantity,unit,received_at
BOL-8821,PO-4419,Fresh Farms,ROM-ICE-24,romaine,50,cases,2026-09-12T13:50:00+00:00
BOL-4421,PO-4421,Berry Grove Co,STR-CLAM-12,strawberries,24,cases,2026-09-11T17:50:00+00:00
BOL-4420,PO-4420,GreenLeaf Produce,SPI-BCH-24,spinach,30,cases,2026-09-11T15:18:00+00:00
BOL-4418,PO-4418,Fresh Farms,KAL-BCH-12,kale,12,cases,2026-09-10T19:58:00+00:00
BOL-4415,PO-4415,Berry Grove Co,AVO-CS-48,avocado,100,cases,2026-09-10T11:48:00+00:00
BOL-4412,PO-4412,CoolChain Farms,TOM-VINE-25,tomatoes,48,cases,2026-09-09T17:30:00+00:00
BOL-4410,PO-4410,GreenLeaf Produce,SPI-BCH-24,spinach,18,cases,2026-09-08T09:28:00+00:00
BOL-4408,PO-4408,Fresh Farms,ROM-ICE-24,romaine,50,cases,2026-09-08T11:03:00+00:00
BOL-4402,PO-4402,Fresh Farms,AVO-CS-48,avocado,40,cases,2026-09-08T15:53:00+00:00
BOL-4399,PO-4399,CoolChain Farms,MIX-GRN-12,mixed greens,20,cases,2026-09-05T10:43:00+00:00
BOL-4406,PO-4406,Valley Mist,BLU-FLAT-12,blueberries,24,cases,2026-09-12T10:22:00+00:00
BOL-4404,PO-4404,Pacific Pack,TOM-VINE-25,tomatoes,40,cases,2026-09-11T12:05:00+00:00
BOL-4403,PO-4403,Harbor Greens,KAL-BCH-12,kale,16,cases,2026-09-10T08:12:00+00:00
BOL-4398,PO-4398,Sierra Packing,ROM-ICE-24,iceberg,30,cases,2026-09-09T13:40:00+00:00
BOL-5001,PO-5001,Red River Produce,RAD-BCH-24,radish,16,cases,2026-09-07T15:10:44+00:00
BOL-5002,PO-5002,Sierra Packing,HRB-MIX-12,herbs,50,cases,2026-09-07T10:57:42+00:00
BOL-5003,PO-5003,High Desert Growers,STR-CLAM-12,strawberries,50,cases,2026-09-11T14:36:32+00:00
BOL-5004,PO-5004,High Desert Growers 2,STR-CLAM-12,strawberries,50,cases,2026-09-08T09:06:53+00:00
BOL-5005,PO-5005,CoolChain Farms,ROM-ICE-24,romaine,48,cases,2026-09-10T09:00:17+00:00
BOL-5005,PO-5005,CoolChain Farms,AVO-CS-48,avocado,60,cases,2026-09-10T09:00:17+00:00
