doc_id,po_id,supplier,sku,item,quantity,unit,lot_code,received_at
PACK-3301,PO-4419,Fresh Farms,ROM-ICE-24,romaine,40,cases,R2298,2026-09-12T13:58:00+00:00
PACK-4421,PO-4421,Berry Grove Co,STR-CLAM-12,strawberries,20,cases,S4410,2026-09-11T17:58:00+00:00
PACK-4420,PO-4420,GreenLeaf Produce,SPI-BCH-24,spinach,30,cases,P1188,2026-09-11T15:26:00+00:00
PACK-4418,PO-4418,Fresh Farms,KAL-BCH-12,kale,12,cases,K3302,2026-09-10T20:06:00+00:00
PACK-4415,PO-4415,Berry Grove Co,AVO-CS-48,avocado,100,cases,A8801,2026-09-10T11:56:00+00:00
PACK-4412,PO-4412,CoolChain Farms,TOM-VINE-25,tomatoes,48,cases,T5510,2026-09-09T17:38:00+00:00
PACK-4410,PO-4410,GreenLeaf Produce,SPI-BCH-24,spinach,18,cases,P1170,2026-09-08T09:36:00+00:00
PACK-4408,PO-4408,Fresh Farms,ROM-ICE-24,romaine,50,cases,R2201,2026-09-08T11:11:00+00:00
PACK-4402,PO-4402,Fresh Farms,AVO-CS-48,avocado,40,cases,,2026-09-08T16:01:00+00:00
PACK-4399,PO-4399,CoolChain Farms,MIX-GRN-12,mixed greens,20,cases,M7701,2026-09-05T10:51:00+00:00
PACK-4406,PO-4406,Valley Mist,BLU-FLAT-12,blueberries,30,cases,B4406,2026-09-12T10:30:00+00:00
PACK-4404,PO-4404,Pacific Pack,TOM-VINE-25,tomatoes,40,cases,T4404,2026-09-11T12:13:00+00:00
PACK-4403,PO-4403,Harbor Greens,KAL-BCH-12,kale,16,cases,K4403,2026-09-10T08:20:00+00:00
PACK-4398,PO-4398,Sierra Packing,ROM-ICE-24,romaine,30,cases,R4398,2026-09-09T13:48:00+00:00
PACK-5001,PO-5001,Red River Produce,RAD-BCH-24,radish,16,cases,R5001-68,2026-09-07T15:18:44+00:00
PACK-5002,PO-5002,Sierra Packing,HRB-MIX-12,herbs,50,cases,H5002-88,2026-09-07T11:05:42+00:00
PACK-5003,PO-5003,High Desert Growers,STR-CLAM-12,strawberries,50,cases,S5003-67,2026-09-11T14:44:32+00:00
PACK-5004,PO-5004,High Desert Growers 2,STR-CLAM-12,strawberries,50,cases,S5004-19,2026-09-08T09:14:53+00:00
PACK-5005,PO-5005,CoolChain Farms,ROM-ICE-24,romaine,42,cases,R5005-37,2026-09-10T09:08:17+00:00
PACK-5005,PO-5005,CoolChain Farms,AVO-CS-48,avocado,50,cases,A5005-63,2026-09-10T09:08:17+00:00
PACK-5006,PO-5006,Pacific Pack,ROM-ICE-24,romaine,48,cases,R5006-71,2026-09-07T14:14:26+00:00
PACK-5007,PO-5007,Pacific Pack 3,POT-RUS-50,potatoes,24,cases,P5007-72,2026-09-07T10:08:19+00:00
PACK-5008,PO-5008,Fresh Farms,CAB-GRN-20,cabbage,20,cases,C5008-69,2026-09-08T10:51:31+00:00
PACK-5009,PO-5009,Sierra Packing,CUC-CTN-24,cucumbers,6,cases,C5009-27,2026-09-12T15:30:39+00:00
PACK-5010,PO-5010,GreenLeaf Produce,KAL-BCH-12,kale,48,cases,K5010-45,2026-09-11T08:41:03+00:00
PACK-5011,PO-5011,GreenLeaf Produce,CRN-EAR-48,corn,12,cases,C5011-54,2026-09-10T14:13:26+00:00
PACK-5012,PO-5012,North Fork Cold 6,HRB-MIX-12,herbs,24,cases,H5012-12,2026-09-08T07:43:49+00:00
PACK-5013,PO-5013,Sunridge Organics,STR-CLAM-12,strawberries,30,cases,S5013-57,2026-09-10T09:10:08+00:00
PACK-5014,PO-5014,Fresh Farms 3,ROM-ICE-24,romaine,4,cases,R5014-83,2026-09-07T12:18:47+00:00
PACK-5015,PO-5015,Pacific Pack,CAR-BAG-50,carrots,24,cases,C5015-23,2026-09-10T15:18:24+00:00
PACK-5016,PO-5016,Sierra Packing 2,BRO-CRN-20,broccoli,12,cases,B5016-54,2026-09-10T09:42:54+00:00
PACK-5017,PO-5017,Fresh Farms,MSH-CTN-10,mushrooms,50,cases,M5017-23,2026-09-09T12:46:23+00:00
PACK-5018,PO-5018,Valley Mist 5,TOM-VINE-25,tomatoes,60,cases,,2026-09-09T10:13:40+00:00
